Exercise ID,Name,Target Deficit,Body Region,Difficulty,Equipment,Instructions,Progression Reps,Safety Notes
EXE-001,Shoulder Shrug,Strength/ROM,Upper Limb,1,None,Sit straight and raise shoulders toward ears and hold for 3 seconds,3 sets of 10 reps,Avoid if shoulder hikes excessively
EXE-002,Hand and Wrist Stretch,Flexibility,Upper Limb,1,None,Place palms together and push left hand against right and hold for 3 seconds,5 reps per side,Stop if experiencing sharp wrist pain
EXE-003,Seated Marching,Mobility,Lower Limb,2,Chair,While seated lift one knee as if marching and hold for 2 seconds,2 sets of 15 reps,Ensure chair is stable and has a backrest
EXE-004,Towel Slide,Range of Motion,Upper Limb,2,Towel and Table,Place towel under hand on table and slide forward and back with control,3 sets of 10 reps,Do not force the stretch beyond comfort
EXE-005,Sit-to-Stand,Functional Strength,Lower Limb,3,Sturdy Chair,Rise from a seated position to standing using even weight on both legs,3 sets of 10 reps,Use armrests for support if balance is unstable
EXE-006,Finger Tapping,Fine Motor,Upper Limb,3,None,Tap each finger against the thumb in a sequence from index to pinky,2 minutes per hand,Focus on isolation not speed
EXE-007,Wall Push-ups,Strength,Core/Upper,3,Wall,Stand facing wall and place palms on wall and lean in and push away,3 sets of 8 reps,Ensure feet are firmly planted
EXE-008,Squeeze Ball,Grip Strength,Upper Limb,2,Tennis Ball,Hold ball in affected hand and squeeze as hard as possible for 5 seconds,3 sets of 5 reps,Relax hand fully between squeezes
EXE-009,Heel-to-Toe Stand,Balance,Lower Limb,4,Countertop,Stand with one foot directly in front of the other in tandem and hold balance,Hold for 30 seconds,Always perform near a grab bar or counter
EXE-010,Single Leg Stance,Balance,Lower Limb,5,None,Lift one leg and stand on the other and hold for as long as possible,Hold for 30-60 sec,Avoid if recent fall history exists without a carer
EXE-011,Facial Muscle Exercises,Facial Exercises,Face,1,None,Smile widely and hold for 3 seconds. Purse lips and hold for 3 seconds. Raise eyebrows and hold for 3 seconds,3 sets of 5 reps,Avoid if facial pain is present
EXE-012,Cheek Puffing,Facial Exercises,Face,1,None,Puff out cheeks and hold for 3 seconds then release slowly,3 sets of 10 reps,Ensure mouth is closed during exercise
EXE-013,Tongue Exercises,Speech/Swallowing,Face,2,None,Stick tongue out and hold for 3 seconds. Move tongue side to side slowly,3 sets of 10 reps,Stop if difficulty swallowing occurs
EXE-014,Lip Rounding,Speech/Swallowing,Face,1,None,Round lips as if saying O and hold for 3 seconds. Then stretch lips as if saying E,3 sets of 10 reps,Maintain controlled breathing
EXE-015,Speech Repetition,Speech Therapy,Face,2,None,Repeat simple words slowly ba-ba-ba pa-pa-pa ta-ta-ta for 1 minute each,1 minute per sound,Speak clearly and at comfortable pace
EXE-016,Counting Exercise,Speech Therapy,Face,2,None,Count from 1 to 10 slowly and clearly and repeat 3 times,3 repetitions,Focus on clear articulation
EXE-017,Swallowing Exercise,Speech/Swallowing,Face,2,None,Swallow saliva slowly and deliberately and practice dry swallows 5 times,5 dry swallows,Ensure water is available nearby
EXE-018,Neck Stretches,Swallowing,Face,1,None,Gently tilt head toward each shoulder and hold for 15 seconds each side,3 sets of 5 reps,Do not force stretching beyond comfort
EXE-019,Eye Tracking,Vision,Face,2,None,Follow a moving object with eyes only without head movement in all directions,2 minutes,Perform in well-lit environment
EXE-020,Visual Scanning,Vision,Face,2,None,Scan room systematically from left to right and identify objects,3 minutes,Use objects at various distances
EXE-021,Attention Focus,Cognitive,General,2,None,Focus on a single object for 1 minute without distraction and increase duration gradually,1-5 minutes,Reduce distractions in environment
EXE-022,Memory Recall,Cognitive,General,2,None,Recall 5 items from a list after 1 minute and gradually increase number of items,5-10 items,Use familiar objects or words
EXE-023,Puzzle Solving,Cognitive,General,3,Puzzle/Paper,Complete simple jigsaw puzzles or word searches appropriate to ability level,15-30 minutes,Choose puzzles matching cognitive level
EXE-024,Reading Exercise,Cognitive,General,2,Book/Paper,Read aloud simple sentences or short passages and focus on comprehension,10-15 minutes,Use large print materials if needed
EXE-025,Emotional Expression,Emotional Regulation,General,2,None,Practice expressing emotions through facial expressions and controlled breathing,5 minutes,Perform in calm environment
